schoolnummer,intern_vplnummer,net,naam,hoofdzetel,adres,straat,huisnummer,busnummer,postcode,gemeente,niscode,provinciecode,provincie,VWO-vestigingsplaatscode,crab-code,crab-huisnr,lx,ly,kbo-nummer,telefoon,fax,e-mail,website,beheerder(s),soort instelling,onderwijsniveau,instellingstype,begindatum,einddatum,status erkenning,clb,bestuur,scholengemeenschap,taalstelsel,ingerichte hoofdstructuren
117,1,Gemeenschapsonderwijs,GO! basisschool Zavelberg Sint-Agatha-Berchem,True,"Oscar Ruelensplein 13, 1082 Sint-Agatha-Berchem",Oscar Ruelensplein,13,,1082,Sint-Agatha-Berchem,21003,B,Brussels Hoofdstedelijk Gewest,,19437,2885378,145023,172984,"""KBO  0267.377.629""",02 482 01 05,,liesbet.doucet@zavelberg.be,www.zavelberg.be,DOUCET Liesbet,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,138842,Nederlandstalig,111-211-211-111
125,1,Gemeenschapsonderwijs,GO! basisschool Kasteel Beiaard,True,"Kruipweg 23, 1120 Brussel",Kruipweg,23,,1120,Brussel,21004,B,Brussels Hoofdstedelijk Gewest,,20085,2663168,150787,176003,"""KBO  0267.377.629""",02 268 18 97,,Bart.Laevens@kasteelbeiaard.be,https://kasteelbeiaard.be,LAEVENS Bart,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,124149,Nederlandstalig,211-111
133,1,Gemeenschapsonderwijs,GO! basisschool De Weg-wijzer Evere,True,"Sint-Vincentiusstraat 29, 1140 Evere",Sint-Vincentiusstraat,29,,1140,Evere,21006,B,Brussels Hoofdstedelijk Gewest,,21122,2492542,152553,174441,"""KBO  0267.377.629""",02 241 58 09,,directie@de-wegwijzer.be,www.de-wegwijzer.be,JANSSENS Lisa,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,124149,Nederlandstalig,211-111
141,1,Gemeenschapsonderwijs,GO! basisschool De Zonnewijzer,True,"Grote Prijzenlaan 59, 1150 Sint-Pieters-Woluwe",Grote Prijzenlaan,59,,1150,Sint-Pieters-Woluwe,21019,B,Brussels Hoofdstedelijk Gewest,,23960,2939222,156569,169205,"""KBO  0267.377.629""",02 770 85 56,,heidi.trappeniers@de-zonnewijzer.be,www.de-zonnewijzer.be,TRAPPENIERS Heidi,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,122069,Nederlandstalig,211-111-111
158,1,Gemeenschapsonderwijs,GO! basisschool De Stadsmus Oudergem,True,"Henri de Brouckèrelaan 16, 1160 Oudergem",Henri de Brouckèrelaan,16,,1160,Oudergem,21002,B,Brussels Hoofdstedelijk Gewest,,19196,2707133,153721,167516,"""KBO  0267.377.629""",02 672 87 18,,secretariaat@destadsmus.be,www.destadsmus.be,BREUER Emilie,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,122069,Nederlandstalig,111-211-111-111
166,1,Gemeenschapsonderwijs,GO! basisschool De Bloeiende Kerselaar Watermaal-Bosvoorde,True,"Louis Vander Swaelmenlaan 25, 1170 Watermaal-Bosvoorde",Louis Vander Swaelmenlaan,25,,1170,Watermaal-Bosvoorde,21017,B,Brussels Hoofdstedelijk Gewest,,23482,2445752,153430,166006,"""KBO  0267.377.629""",02 660 39 41,,kristel.derdelinckx@debloeiendekerselaar.be,www.debloeiendekerselaar.be,DERDELINCKX Kristel,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,122069,Nederlandstalig,111-211
174,1,Gemeenschapsonderwijs,GO! basisschool Floreal Ukkel,True,"Floréallaan 14, 1180 Ukkel",Floréallaan,14,,1180,Ukkel,21016,B,Brussels Hoofdstedelijk Gewest,,23095,2820874,147827,166436,"""KBO  0267.377.629""",02 340 68 90,0470 21 28 76,directie@bsfloreal.be,www.bsfloreal.be,VAN ACKER Christel,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,122069,Nederlandstalig,111-211
182,1,Gemeenschapsonderwijs,GO! basisschool Floralia,True,"Floraliënstraat 29, 1200 Sint-Lambrechts-Woluwe",Floraliënstraat,29,,1200,Sint-Lambrechts-Woluwe,21018,B,Brussels Hoofdstedelijk Gewest,,23653,2955005,154477,170569,"""KBO  0267.377.629""",02 771 59 71,,directie@bsfloralia.be,www.bsfloralia.be,Dehertogh Rita,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114331,113878,124149,Nederlandstalig,111-211-111
191,1,Gemeenschapsonderwijs,GO! basisschool De Leerboom,True,"Auguste Demaeghtlaan 40, 1500 Halle",Auguste Demaeghtlaan,40,,1500,Halle,23027,V,Vlaams-Brabant,,26016,2132705,140564,158730,"""KBO  0850.037.823""",02 363 82 42,,katleen.roelandt@go-campushalle.be,www.campuskahalle.be,ROELANDT Katleen,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,111-211
208,1,Gemeenschapsonderwijs,GO! basisschool Zilverberk,True,"Pastoor Bernaertsstraat 28, 1500 Halle",Pastoor Bernaertsstraat,28,,1500,Halle,23027,V,Vlaams-Brabant,,26285,55644,141308,157680,"""KBO  0850.037.823""",02 356 78 89,,directie.zilverberk@ringscholen.be,www.zilverberkhalle.be,Vancutsem Tom,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,211-111
216,2,Gemeenschapsonderwijs,GO! basisschool Markevallei,True,"Waardestraat 17, 1540 Herne",Waardestraat,17,,1540,Herne,23032,V,Vlaams-Brabant,,26530,4280570,128974,156141,"""KBO  0850.037.823""",02 396 13 76,,directie.markevallei@ringscholen.be,www.bsmarkevallei.be,Van Vaerenbergh Katrien,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,111-211
232,1,Gemeenschapsonderwijs,GO! basisschool De Groene Parel,True,"Albert Van Cotthemstraat 110, 1600 Sint-Pieters-Leeuw",Albert Van Cotthemstraat,110,,1600,Sint-Pieters-Leeuw,23077,V,Vlaams-Brabant,,28513,2888375,143741,165636,"""KBO  0850.037.823""",02 377 82 12,,directie.de.groeneparel@ringscholen.be,www.degroeneparel.be,BOMON Lien,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,111-211
257,1,Gemeenschapsonderwijs,GO! basisschool De Key,True,"Karel Keymolenstraat 39, 1750 Lennik",Karel Keymolenstraat,39,,1750,Lennik,23104,V,Vlaams-Brabant,,31258,2874623,134680,166430,"""KBO  0850.037.823""",02 532 33 65,,directie.de.key@ringscholen.be,www.dekey.be,Depetter Andy,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,111-211
265,1,Gemeenschapsonderwijs,GO! basisschool Vijverbeek,True,"Nieuwstraat 124A, 1730 Asse",Nieuwstraat,124A,,1730,Asse,23002,V,Vlaams-Brabant,,24390,4241673,137526,177522,"""KBO  0850.037.823""",02 451 61 02,,directie.bs.vijverbeek@ringscholen.be,www.bsvijverbeek.be,Van Loo Tom,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,111-211
273,1,Gemeenschapsonderwijs,GO! basisschool De Vlinder,True,"Kasteelstraat 76, 1700 Dilbeek",Kasteelstraat,76,,1700,Dilbeek,23016,V,Vlaams-Brabant,,25083,2890792,142038,170716,"""KBO  0850.037.823""",02 569 39 47,,directie.de.vlinder@ringscholen.be,www.devlinderdilbeek.be,Cools Sarah,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,211-111
281,1,Gemeenschapsonderwijs,GO! basisschool Horizon,True,"Keizerstraat 35, 1740 Ternat",Keizerstraat,35,,1740,Ternat,23086,V,Vlaams-Brabant,,29071,2617265,136839,173263,"""KBO  0850.037.823""",02 582 52 76,,sylvie.struyf@bshorizon.be,www.bshorizon.be,Struyf Sylvie,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,111-211
299,1,Gemeenschapsonderwijs,GO! basisschool De Bij Liedekerke,True,"Kleemputtenstraat 16, 1770 Liedekerke",Kleemputtenstraat,16,,1770,Liedekerke,23044,V,Vlaams-Brabant,,27091,2789674,130538,173822,"""KBO  0850.037.724""",053 46 33 00,,info@debij.be,www.debij.be,De Block Stanny,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114439,113985,121012,Nederlandstalig,111-211
307,1,Gemeenschapsonderwijs,GO! basisschool Klim-Op Vilvoorde,True,"Ledeganckstraat (Karel) 16, 1800 Vilvoorde",Ledeganckstraat (Karel),16,,1800,Vilvoorde,23088,V,Vlaams-Brabant,,145246,3146356,154405,180673,"""KBO  0267.378.421""",02 251 35 61,,info@klimopvilvoorde.be,www.klimopvilvoorde.be,GEERTS Vincent,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114355,113894,121947,Nederlandstalig,211-111
315,1,Gemeenschapsonderwijs,GO! basisschool Kaleido,True,"Leuvensestraat 117, 1800 Vilvoorde",Leuvensestraat,117,,1800,Vilvoorde,23088,V,Vlaams-Brabant,,29370,1275743,154394,179716,"""KBO  0267.378.421""",02 251 58 17,,directeur@kaleido-vilvoorde.be,www.kaleido-vilvoorde.be,Turf Birgit,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114355,113894,121947,Nederlandstalig,211-111
323,1,Gemeenschapsonderwijs,GO! basisschool De Sterrenhemel,True,"Koning Albertlaan 1, 1830 Machelen",Koning Albertlaan,1,,1830,Machelen,23047,V,Vlaams-Brabant,,27423,1547351,154831,177796,"""KBO  0267.378.421""",02 251 39 31,,directeur@desterrenhemel.be,www.desterrenhemel.be,Derese Ellen,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114355,113894,121947,Nederlandstalig,211-111
331,1,Gemeenschapsonderwijs,GO! basisschool De Regenboog,True,"Speelbroek 38, 1850 Grimbergen",Speelbroek,38,,1850,Grimbergen,23025,V,Vlaams-Brabant,,25927,3914538,149957,180025,"""KBO  0267.378.421""",02 269 31 45,,directeur@deregenbooggrimbergen.be,www.bsgo-grimbergen.be,DE BUYSER Christophe,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114355,113894,121947,Nederlandstalig,111-211
349,1,Gemeenschapsonderwijs,GO! basisschool De Zonnebloem Wolvertem,True,"Karel Baudewijnslaan 26, 1861 Meise",Karel Baudewijnslaan,26,,1861,Meise,23050,V,Vlaams-Brabant,,27622,1790734,145819,182672,"""KBO  0850.037.823""",02 269 52 22,,secretariaat.zonnebloem@ringscholen.be,www.bs-zonnebloem.be,PIESSENS Dirk,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,111-211
356,1,Gemeenschapsonderwijs,GO! basisschool De Duizendpootrakkers,True,"Ringlaan 2, 1745 Opwijk",Ringlaan,2,,1745,Opwijk,23060,V,Vlaams-Brabant,,28008,2937054,137403,184570,"""KBO  0850.037.823""",052 35 56 16,,info@duizendpootrakkers.be,https://www.duizendpootrakkers.be,De Wolf Jo,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114348,113886,119206,Nederlandstalig,111-211
364,1,Gemeenschapsonderwijs,GO! basisschool 't Kasteeltje,True,"Stafh. Braffortlaan 6, 3090 Overijse",Stafh. Braffortlaan,6,,3090,Overijse,23062,V,Vlaams-Brabant,,28334,2926945,162148,162607,"""KBO  0267.378.421""",02 688 22 31,,bs.overijse@telenet.be,www.bskasteeltje.be,VANDEN WAEYENBERGH Gerrit,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114355,113894,121947,Nederlandstalig,111-211-111
372,1,Gemeenschapsonderwijs,GO! basisschool De Vleugel,True,"Spoorwegstraat 27, 1930 Zaventem",Spoorwegstraat,27,,1930,Zaventem,23094,V,Vlaams-Brabant,,29824,2865571,157511,174827,"""KBO  0267.378.421""",02 720 17 92,,info@go-devleugel.be,https://www.go-devleugel.be,PITSCHON Karen,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114355,113894,121947,Nederlandstalig,211-111
381,1,Gemeenschapsonderwijs,GO! basisschool De KATtensprong,True,"Hippolyte Boulengerlaan 7, 3080 Tervuren",Hippolyte Boulengerlaan,7,,3080,Tervuren,24104,V,Vlaams-Brabant,,36255,2650914,159308,167908,"""KBO  0267.378.421""",02 766 11 12,,info@kattensprong.be,www.kattensprong.be,HENDRICKX Isa,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114355,113894,121947,Nederlandstalig,211-111
398,1,Gemeenschapsonderwijs,GO! basisschool Het Groene Dal,True,"Willem Matstraat 4, 1560 Hoeilaart",Willem Matstraat,4,,1560,Hoeilaart,23033,V,Vlaams-Brabant,,26687,845037,157705,161721,"""KBO  0267.378.421""",02 657 42 98,,directeur@hetgroenedal.be,https://www.hetgroenedal.be,Van Goethem Liesbeth,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114355,113894,121947,Nederlandstalig,211-111
406,1,Gemeenschapsonderwijs,GO! basisschool De Pijl Antwerpen,True,"Pijlstraat 2, 2060 Antwerpen",Pijlstraat,2,,2060,Antwerpen,11002,1,Antwerpen,,2314,634230,153478,212349,"""KBO  0267.374.857""",03 232 71 50,,directie@depijl.be,www.depijl.be,MEEKERS Patrick,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121831,Nederlandstalig,211-111
414,1,Gemeenschapsonderwijs,GO! basisschool De Spits Antwerpen,True,"Thonetlaan 106, 2050 Antwerpen",Thonetlaan,106,,2050,Antwerpen,11002,1,Antwerpen,,2820,1488743,151400,212832,"""KBO  0267.374.857""",03 210 95 84,,info@de-spits.be,www.de-spits.be,BASTIAENSEN Steven,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,138784,Nederlandstalig,111-211
422,1,Gemeenschapsonderwijs,GO! basisschool Het Laerhof Merksem,True,"Laarsebaan 100, 2170 Antwerpen",Laarsebaan,100,,2170,Antwerpen,11002,1,Antwerpen,,1708,1533343,154721,215425,"""KBO  0267.374.857""",03 645 08 06,,directie@hetlaerhof.be,www.hetlaerhof.be,MENNENS Rudi,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121831,Nederlandstalig,111-211
431,1,Gemeenschapsonderwijs,GO! basisschool 3Hoek Ekeren,True,"Kloosterstraat 39, 2180 Antwerpen",Kloosterstraat,39,,2180,Antwerpen,11002,1,Antwerpen,,1570,2886680,153476,219020,"""KBO  0267.374.857""",03 541 62 54,,directie@3hoek-ekeren.be,www.3hoek-ekeren.be,Van der Hallen Joost,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121723,Nederlandstalig,211-111
448,1,Gemeenschapsonderwijs,GO! basisschool Irishof,True,"Kapelsestraat 37, 2950 Kapellen",Kapelsestraat,37,,2950,Kapellen,11023,1,Antwerpen,,5439,99017,153744,223428,"""KBO  0267.374.857""",03 660 13 04,,directie@irishof.be,www.irishof.be,VOETEN Carla,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121723,Nederlandstalig,211-111
455,1,Gemeenschapsonderwijs,GO! basisschool De Stappe,True,"Geelvinckstraat 15, 2940 Stabroek",Geelvinckstraat,15,,2940,Stabroek,11044,1,Antwerpen,,7300,740465,150190,224724,"""KBO  0267.374.857""",03 568 31 92,,directie@bs-destappe.be,www.bs-destappe.be,Van Hoydonck Yasmin - Coekaerts Els,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121723,Nederlandstalig,111-211
463,1,Gemeenschapsonderwijs,GO! kleuterschool Het Notendopje,True,"Veldstraat 80, 2110 Wijnegem",Veldstraat,80,,2110,Wijnegem,11050,1,Antwerpen,,7473,2499674,160491,213364,"""KBO  0267.374.857""",03 354 30 23,,info@hetnotendopje.be,www.hetnotendopje.be,MERTENS Griet,Onderwijsinstelling,BaO,Autonome kleuterschool,01/01/0001,31/12/4444,S,114272,113803,121831,Nederlandstalig,111
471,1,Gemeenschapsonderwijs,GO! basisschool Vijverhof,True,"August Jonckersstraat 65, 2900 Schoten",August Jonckersstraat,65,,2900,Schoten,11040,1,Antwerpen,,6943,2629286,159137,216412,"""KBO  0267.375.649""",03 658 61 81,,directie@bsschoten.be,www.bsschoten.be,Festraerts Audry,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113829,122093,Nederlandstalig,111-211-111-211
489,1,Gemeenschapsonderwijs,GO! basisschool De Brug,True,"Brugstraat 83, 2960 Brecht",Brugstraat,83,,2960,Brecht,11009,1,Antwerpen,,4065,590668,164264,220679,"""KBO  0267.375.649""",03 636 11 44,,directie@bsdebrug.be,www.bsdebrug.be,Vandereyken Karen,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113829,122093,Nederlandstalig,211-111
497,1,Gemeenschapsonderwijs,GO! basisschool Wonderwijs,True,"Augustijnslei 54, 2930 Brasschaat",Augustijnslei,54,,2930,Brasschaat,11008,1,Antwerpen,,3757,1902782,158474,220414,"""KBO  0267.375.649""",0491 96 91 58,,basisschool@wonderwijsbrasschaat.be,wonderwijsbrasschaat.be,MERTENS Lieve,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113829,122093,Nederlandstalig,111-211
505,1,Gemeenschapsonderwijs,GO! basisschool 't Park,True,"Herentalsebaan 54, 2390 Malle",Herentalsebaan,54,,2390,Malle,11057,1,Antwerpen,,8719,2834166,175741,220816,"""KBO  0267.375.649""",03 312 02 31,,emmanuela.vervoort@inventoscholen.be,www.gomalle.be,VERVOORT Emmanuela,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113829,122093,Nederlandstalig,111-211
513,1,Gemeenschapsonderwijs,GO! basisschool Klim-op,True,"Heybleukenstraat 21, 2980 Zoersel",Heybleukenstraat,21,,2980,Zoersel,11055,1,Antwerpen,,8304,2520720,168622,217459,"""KBO  0267.375.649""",03 383 25 95,,bs.zoersel@sgr3.be,www.klim-op.net,ENGEL Birgit,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113829,122093,Nederlandstalig,211-111
521,1,Gemeenschapsonderwijs,GO! basisschool Daltonschool De Vinkjes,True,"Nieuwe Buiten 1, 2990 Wuustwezel",Nieuwe Buiten,1,,2990,Wuustwezel,11053,1,Antwerpen,,193883,4255108,165724,231270,"""KBO  0267.374.857""",03 669 63 61,,directie@tscholeke-devinkjes.be,www.tscholeke-devinkjes.be,BOSMAN Rebecca,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121723,Nederlandstalig,111-111-211
539,1,Gemeenschapsonderwijs,GO! basisschool De 4sprong-3D,True,"Ganzendries 14, 2920 Kalmthout",Ganzendries,14,,2920,Kalmthout,11022,1,Antwerpen,,5138,749181,157148,229801,"""KBO  0267.374.857""",03 666 98 35,,directie@de4sprong-3D.be,www.de4sprong-3D.be,MILBOU Sabine,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121723,Nederlandstalig,111-211-211-111
547,1,Gemeenschapsonderwijs,GO! basisschool Freinetschool WonderWereld,True,"Hofstraat 14, 2910 Essen",Hofstraat,14,,2910,Essen,11016,1,Antwerpen,,4720,2780020,156925,239534,"""KBO  0267.374.857""",03 667 25 03,,directie@freinetwonderwereld.be,www.freinetwonderwereld.be,DE SCHEPPER Hans,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121723,Nederlandstalig,111-211
554,1,Gemeenschapsonderwijs,GO! basisschool Plantijntje,True,"Plantin en Moretuslei 163, 2140 Antwerpen",Plantin en Moretuslei,163,,2140,Antwerpen,11002,1,Antwerpen,,2323,1811687,154388,211120,"""KBO  0267.374.857""",03 235 36 90,,directie@bsplantijntje.be,www.bsplantijntje.be,KREYDT Karin,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113803,121831,Nederlandstalig,111-211
562,1,Gemeenschapsonderwijs,GO! basisschool De Boomgaard,True,"Luit. Karel Caluwaertsstraat 41, 2160 Wommelgem",Luit. Karel Caluwaertsstraat,41,,2160,Wommelgem,11052,1,Antwerpen,,7556,961248,160527,210310,"""KBO  0267.377.233""",03 353 73 01,,secretariaat@bsdeboomgaard.be,www.bsdeboomgaard.be,Arras Sabine,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114322,113861,120543,Nederlandstalig,211-111
571,1,Gemeenschapsonderwijs,GO! basisschool Vennebos,True,"Kasteeldreef 24, 2970 Schilde",Kasteeldreef,24,,2970,Schilde,11039,1,Antwerpen,,6779,3087406,164532,213480,"""KBO  0267.375.649""",03 383 08 15,,christine.claessens@vennebos.be,www.vennebos.be,Claessens Christine,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113829,122093,Nederlandstalig,111-211
588,1,Gemeenschapsonderwijs,GO! leefschool 't Zandhofje,True,"Liersebaan 51, 2240 Zandhoven",Liersebaan,51,,2240,Zandhoven,11054,1,Antwerpen,,8105,795418,169975,211425,"""KBO  0267.375.649""",03 484 34 48,,directie@zandhofje.be,www.zandhofje.be,VAN EVERBROECK Sabina,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114272,113829,122093,Nederlandstalig,211-111
596,1,Gemeenschapsonderwijs,GO! basisschool - De Zevensprong,True,"Albert Kanaalstraat 31, 2560 Nijlen",Albert Kanaalstraat,31,,2560,Nijlen,12026,1,Antwerpen,,11166,2982505,171029,205888,"""KBO  0267.377.233""",03 481 82 92,,directie@bsdezevensprong.be,www.bsdezevensprong.be,Van der Plas Caroline,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114322,113861,120543,Nederlandstalig,111-211
